seq,timestamp_chegada,topic,dado,qos,retained
4,2026-09-04T13:53:31.544495+00:00,casa/frente/porta,Aberta,1,True
-1,2026-09-04T13:53:31.544495+00:00,casa/status/sensores,OFFLINE,1,True
0,2026-09-04T13:53:34.190102+00:00,casa/sala/temperatura,25.29,1,False
1,2026-09-04T13:53:35.199033+00:00,casa/sala/temperatura,23.17,1,False
2,2026-09-04T13:53:36.209381+00:00,casa/sala/temperatura,23.64,1,False
3,2026-09-04T13:53:37.223392+00:00,casa/sala/temperatura,24.83,1,False
4,2026-09-04T13:53:38.233977+00:00,casa/sala/temperatura,24.28,1,False
5,2026-09-04T13:53:39.246420+00:00,casa/sala/temperatura,23.28,1,False
6,2026-09-04T13:53:40.253935+00:00,casa/sala/temperatura,24.21,1,False
7,2026-09-04T13:53:41.264301+00:00,casa/sala/temperatura,24.95,1,False
8,2026-09-04T13:53:42.276507+00:00,casa/sala/temperatura,21.51,1,False
9,2026-09-04T13:53:43.288240+00:00,casa/sala/temperatura,24.98,1,False
10,2026-09-04T13:53:44.299295+00:00,casa/sala/temperatura,21.23,1,False
11,2026-09-04T13:53:45.310018+00:00,casa/sala/temperatura,23.68,1,False
12,2026-09-04T13:53:46.324203+00:00,casa/sala/temperatura,23.97,1,False
13,2026-09-04T13:53:47.335290+00:00,casa/sala/temperatura,24.45,1,False
14,2026-09-04T13:53:48.340359+00:00,casa/sala/temperatura,24.01,1,False
15,2026-09-04T13:53:49.355356+00:00,casa/sala/temperatura,22.89,1,False
16,2026-09-04T13:53:50.367153+00:00,casa/sala/temperatura,24.67,1,False
17,2026-09-04T13:53:51.380894+00:00,casa/sala/temperatura,26.05,1,False
18,2026-09-04T13:53:52.395328+00:00,casa/sala/temperatura,21.92,1,False
19,2026-09-04T13:53:53.396346+00:00,casa/sala/temperatura,25.14,1,False
20,2026-09-04T13:53:54.399516+00:00,casa/sala/temperatura,24.65,1,False
21,2026-09-04T13:53:55.413863+00:00,casa/sala/temperatura,24.62,1,False
22,2026-09-04T13:53:56.417225+00:00,casa/sala/temperatura,26.22,1,False
23,2026-09-04T13:53:57.428744+00:00,casa/sala/temperatura,20.76,1,False
24,2026-09-04T13:53:58.433486+00:00,casa/sala/temperatura,23.7,1,False
25,2026-09-04T13:53:59.447361+00:00,casa/sala/temperatura,25.08,1,False
26,2026-09-04T13:54:00.459558+00:00,casa/sala/temperatura,24.55,1,False
27,2026-09-04T13:54:01.467318+00:00,casa/sala/temperatura,23.62,1,False
28,2026-09-04T13:54:02.479510+00:00,casa/sala/temperatura,24.86,1,False
29,2026-09-04T13:54:03.491704+00:00,casa/sala/temperatura,25.84,1,False
30,2026-09-04T13:54:04.503421+00:00,casa/sala/temperatura,23.77,1,False
31,2026-09-04T13:54:05.513611+00:00,casa/sala/temperatura,21.59,1,False
32,2026-09-04T13:54:06.523432+00:00,casa/sala/temperatura,24.7,1,False
33,2026-09-04T13:54:07.523158+00:00,casa/sala/temperatura,25.13,1,False
34,2026-09-04T13:54:08.530234+00:00,casa/sala/temperatura,22.78,1,False
35,2026-09-04T13:54:09.539089+00:00,casa/sala/temperatura,20.79,1,False
36,2026-09-04T13:54:10.552015+00:00,casa/sala/temperatura,24.4,1,False
37,2026-09-04T13:54:11.565102+00:00,casa/sala/temperatura,21.63,1,False
38,2026-09-04T13:54:12.574285+00:00,casa/sala/temperatura,22.07,1,False
39,2026-09-04T13:54:13.587574+00:00,casa/sala/temperatura,22.74,1,False
40,2026-09-04T13:54:14.598312+00:00,casa/sala/temperatura,26.45,1,False
41,2026-09-04T13:54:15.608747+00:00,casa/sala/temperatura,20.73,1,False
42,2026-09-04T13:54:16.622086+00:00,casa/sala/temperatura,24.43,1,False
43,2026-09-04T13:54:17.628181+00:00,casa/sala/temperatura,21.54,1,False
44,2026-09-04T13:54:18.641242+00:00,casa/sala/temperatura,22.91,1,False
45,2026-09-04T13:54:19.649394+00:00,casa/sala/temperatura,25.53,1,False
46,2026-09-04T13:54:20.659821+00:00,casa/sala/temperatura,22.73,1,False
47,2026-09-04T13:54:21.669293+00:00,casa/sala/temperatura,24.6,1,False
48,2026-09-04T13:54:22.682924+00:00,casa/sala/temperatura,21.78,1,False
49,2026-09-04T13:54:23.693205+00:00,casa/sala/temperatura,20.88,1,False
50,2026-09-04T13:54:24.699788+00:00,casa/sala/temperatura,23.91,1,False
51,2026-09-04T13:54:25.713688+00:00,casa/sala/temperatura,22.76,1,False
52,2026-09-04T13:54:26.725172+00:00,casa/sala/temperatura,27.02,1,False
53,2026-09-04T13:54:27.741533+00:00,casa/sala/temperatura,24.84,1,False
54,2026-09-04T13:54:28.755825+00:00,casa/sala/temperatura,25.45,1,False
55,2026-09-04T13:54:29.767695+00:00,casa/sala/temperatura,22.46,1,False
56,2026-09-04T13:54:30.780186+00:00,casa/sala/temperatura,21.68,1,False
57,2026-09-04T13:54:31.835423+00:00,casa/sala/temperatura,23.57,1,False
58,2026-09-04T13:54:32.800581+00:00,casa/sala/temperatura,24.27,1,False
59,2026-09-04T13:54:33.815424+00:00,casa/sala/temperatura,23.64,1,False
