seq,timestamp_chegada,topic,dado,qos,retained
4,2026-09-04T13:52:21.841455+00:00,casa/frente/porta,Aberta,0,True
-1,2026-09-04T13:52:21.841455+00:00,casa/status/sensores,OFFLINE,0,True
0,2026-09-04T13:52:24.500349+00:00,casa/sala/temperatura,28.02,0,False
1,2026-09-04T13:52:25.513017+00:00,casa/sala/temperatura,24.36,0,False
2,2026-09-04T13:52:26.527179+00:00,casa/sala/temperatura,23.79,0,False
3,2026-09-04T13:52:27.535112+00:00,casa/sala/temperatura,23.58,0,False
4,2026-09-04T13:52:28.545014+00:00,casa/sala/temperatura,23.95,0,False
5,2026-09-04T13:52:29.557227+00:00,casa/sala/temperatura,22.63,0,False
6,2026-09-04T13:52:30.565281+00:00,casa/sala/temperatura,20.65,0,False
7,2026-09-04T13:52:31.576058+00:00,casa/sala/temperatura,22.48,0,False
8,2026-09-04T13:52:32.585099+00:00,casa/sala/temperatura,20.44,0,False
9,2026-09-04T13:52:33.585223+00:00,casa/sala/temperatura,22.59,0,False
10,2026-09-04T13:52:34.600213+00:00,casa/sala/temperatura,22.36,0,False
11,2026-09-04T13:52:35.608491+00:00,casa/sala/temperatura,25.55,0,False
12,2026-09-04T13:52:36.616730+00:00,casa/sala/temperatura,22.79,0,False
13,2026-09-04T13:52:37.625132+00:00,casa/sala/temperatura,25.61,0,False
14,2026-09-04T13:52:38.636473+00:00,casa/sala/temperatura,25.27,0,False
15,2026-09-04T13:52:39.648691+00:00,casa/sala/temperatura,23.28,0,False
16,2026-09-04T13:52:40.656091+00:00,casa/sala/temperatura,24.63,0,False
17,2026-09-04T13:52:41.665235+00:00,casa/sala/temperatura,22.38,0,False
18,2026-09-04T13:52:42.674287+00:00,casa/sala/temperatura,23.74,0,False
19,2026-09-04T13:52:43.686202+00:00,casa/sala/temperatura,26.71,0,False
20,2026-09-04T13:52:44.696860+00:00,casa/sala/temperatura,22.9,0,False
21,2026-09-04T13:52:45.712592+00:00,casa/sala/temperatura,26.57,0,False
22,2026-09-04T13:52:46.721729+00:00,casa/sala/temperatura,24.07,0,False
23,2026-09-04T13:52:47.731011+00:00,casa/sala/temperatura,22.62,0,False
24,2026-09-04T13:52:48.743572+00:00,casa/sala/temperatura,25.79,0,False
25,2026-09-04T13:52:49.751811+00:00,casa/sala/temperatura,24.83,0,False
26,2026-09-04T13:52:50.753378+00:00,casa/sala/temperatura,24.08,0,False
27,2026-09-04T13:52:51.762126+00:00,casa/sala/temperatura,22.1,0,False
28,2026-09-04T13:52:52.773614+00:00,casa/sala/temperatura,24.16,0,False
29,2026-09-04T13:52:53.786507+00:00,casa/sala/temperatura,23.29,0,False
30,2026-09-04T13:52:54.797661+00:00,casa/sala/temperatura,24.6,0,False
31,2026-09-04T13:52:55.810239+00:00,casa/sala/temperatura,26.05,0,False
32,2026-09-04T13:52:56.820432+00:00,casa/sala/temperatura,26.09,0,False
33,2026-09-04T13:52:57.833648+00:00,casa/sala/temperatura,22.72,0,False
34,2026-09-04T13:52:58.847866+00:00,casa/sala/temperatura,23.94,0,False
35,2026-09-04T13:52:59.860182+00:00,casa/sala/temperatura,24.57,0,False
36,2026-09-04T13:53:00.872226+00:00,casa/sala/temperatura,25.67,0,False
37,2026-09-04T13:53:01.880293+00:00,casa/sala/temperatura,24.2,0,False
38,2026-09-04T13:53:02.881445+00:00,casa/sala/temperatura,23.75,0,False
39,2026-09-04T13:53:03.891580+00:00,casa/sala/temperatura,24.95,0,False
40,2026-09-04T13:53:04.902203+00:00,casa/sala/temperatura,22.03,0,False
41,2026-09-04T13:53:05.911707+00:00,casa/sala/temperatura,22.81,0,False
42,2026-09-04T13:53:06.924938+00:00,casa/sala/temperatura,23.89,0,False
43,2026-09-04T13:53:07.939206+00:00,casa/sala/temperatura,25.9,0,False
44,2026-09-04T13:53:08.952541+00:00,casa/sala/temperatura,24.6,0,False
45,2026-09-04T13:53:09.963736+00:00,casa/sala/temperatura,24.09,0,False
46,2026-09-04T13:53:10.972183+00:00,casa/sala/temperatura,23.99,0,False
47,2026-09-04T13:53:11.985259+00:00,casa/sala/temperatura,22.04,0,False
48,2026-09-04T13:53:12.997445+00:00,casa/sala/temperatura,23.09,0,False
49,2026-09-04T13:53:14.008640+00:00,casa/sala/temperatura,21.26,0,False
50,2026-09-04T13:53:15.019473+00:00,casa/sala/temperatura,24.82,0,False
51,2026-09-04T13:53:16.031841+00:00,casa/sala/temperatura,24.43,0,False
52,2026-09-04T13:53:17.039846+00:00,casa/sala/temperatura,24.25,0,False
53,2026-09-04T13:53:18.055344+00:00,casa/sala/temperatura,24.54,0,False
54,2026-09-04T13:53:19.069201+00:00,casa/sala/temperatura,23.8,0,False
55,2026-09-04T13:53:20.083229+00:00,casa/sala/temperatura,24.65,0,False
56,2026-09-04T13:53:21.095216+00:00,casa/sala/temperatura,21.05,0,False
57,2026-09-04T13:53:22.105568+00:00,casa/sala/temperatura,21.92,0,False
58,2026-09-04T13:53:23.118792+00:00,casa/sala/temperatura,21.79,0,False
59,2026-09-04T13:53:24.119247+00:00,casa/sala/temperatura,23.68,0,False
