seq,timestamp_pub,dado,qos,topic,mid
0,2026-09-04T13:52:24.498350+00:00,28.02,0,casa/sala/temperatura,1
1,2026-09-04T13:52:25.512004+00:00,24.36,0,casa/sala/temperatura,2
2,2026-09-04T13:52:26.525571+00:00,23.79,0,casa/sala/temperatura,3
3,2026-09-04T13:52:27.533115+00:00,23.58,0,casa/sala/temperatura,4
4,2026-09-04T13:52:28.545014+00:00,23.95,0,casa/sala/temperatura,5
5,2026-09-04T13:52:29.555204+00:00,22.63,0,casa/sala/temperatura,6
6,2026-09-04T13:52:30.563282+00:00,20.65,0,casa/sala/temperatura,7
7,2026-09-04T13:52:31.574533+00:00,22.48,0,casa/sala/temperatura,8
8,2026-09-04T13:52:32.583099+00:00,20.44,0,casa/sala/temperatura,9
9,2026-09-04T13:52:33.584221+00:00,22.59,0,casa/sala/temperatura,10
10,2026-09-04T13:52:34.598212+00:00,22.36,0,casa/sala/temperatura,11
11,2026-09-04T13:52:35.606484+00:00,25.55,0,casa/sala/temperatura,12
12,2026-09-04T13:52:36.615465+00:00,22.79,0,casa/sala/temperatura,13
13,2026-09-04T13:52:37.623134+00:00,25.61,0,casa/sala/temperatura,14
14,2026-09-04T13:52:38.636473+00:00,25.27,0,casa/sala/temperatura,15
15,2026-09-04T13:52:39.646637+00:00,23.28,0,casa/sala/temperatura,16
16,2026-09-04T13:52:40.653803+00:00,24.63,0,casa/sala/temperatura,17
17,2026-09-04T13:52:41.663164+00:00,22.38,0,casa/sala/temperatura,18
18,2026-09-04T13:52:42.672771+00:00,23.74,0,casa/sala/temperatura,19
19,2026-09-04T13:52:43.684160+00:00,26.71,0,casa/sala/temperatura,20
20,2026-09-04T13:52:44.694343+00:00,22.9,0,casa/sala/temperatura,21
21,2026-09-04T13:52:45.710581+00:00,26.57,0,casa/sala/temperatura,22
22,2026-09-04T13:52:46.720724+00:00,24.07,0,casa/sala/temperatura,23
23,2026-09-04T13:52:47.729008+00:00,22.62,0,casa/sala/temperatura,24
24,2026-09-04T13:52:48.741565+00:00,25.79,0,casa/sala/temperatura,25
25,2026-09-04T13:52:49.749806+00:00,24.83,0,casa/sala/temperatura,26
26,2026-09-04T13:52:50.751375+00:00,24.08,0,casa/sala/temperatura,27
27,2026-09-04T13:52:51.761125+00:00,22.1,0,casa/sala/temperatura,28
28,2026-09-04T13:52:52.772549+00:00,24.16,0,casa/sala/temperatura,29
29,2026-09-04T13:52:53.785490+00:00,23.29,0,casa/sala/temperatura,30
30,2026-09-04T13:52:54.797661+00:00,24.6,0,casa/sala/temperatura,31
31,2026-09-04T13:52:55.809245+00:00,26.05,0,casa/sala/temperatura,32
32,2026-09-04T13:52:56.819433+00:00,26.09,0,casa/sala/temperatura,33
33,2026-09-04T13:52:57.832648+00:00,22.72,0,casa/sala/temperatura,34
34,2026-09-04T13:52:58.847866+00:00,23.94,0,casa/sala/temperatura,35
35,2026-09-04T13:52:59.859185+00:00,24.57,0,casa/sala/temperatura,36
36,2026-09-04T13:53:00.871228+00:00,25.67,0,casa/sala/temperatura,37
37,2026-09-04T13:53:01.879290+00:00,24.2,0,casa/sala/temperatura,38
38,2026-09-04T13:53:02.879447+00:00,23.75,0,casa/sala/temperatura,39
39,2026-09-04T13:53:03.890927+00:00,24.95,0,casa/sala/temperatura,40
40,2026-09-04T13:53:04.900683+00:00,22.03,0,casa/sala/temperatura,41
41,2026-09-04T13:53:05.910147+00:00,22.81,0,casa/sala/temperatura,42
42,2026-09-04T13:53:06.923069+00:00,23.89,0,casa/sala/temperatura,43
43,2026-09-04T13:53:07.937201+00:00,25.9,0,casa/sala/temperatura,44
44,2026-09-04T13:53:08.952541+00:00,24.6,0,casa/sala/temperatura,45
45,2026-09-04T13:53:09.962737+00:00,24.09,0,casa/sala/temperatura,46
46,2026-09-04T13:53:10.971182+00:00,23.99,0,casa/sala/temperatura,47
47,2026-09-04T13:53:11.983254+00:00,22.04,0,casa/sala/temperatura,48
48,2026-09-04T13:53:12.996446+00:00,23.09,0,casa/sala/temperatura,49
49,2026-09-04T13:53:14.006640+00:00,21.26,0,casa/sala/temperatura,50
50,2026-09-04T13:53:15.018473+00:00,24.82,0,casa/sala/temperatura,51
51,2026-09-04T13:53:16.029711+00:00,24.43,0,casa/sala/temperatura,52
52,2026-09-04T13:53:17.037844+00:00,24.25,0,casa/sala/temperatura,53
53,2026-09-04T13:53:18.053832+00:00,24.54,0,casa/sala/temperatura,54
54,2026-09-04T13:53:19.067200+00:00,23.8,0,casa/sala/temperatura,55
55,2026-09-04T13:53:20.082229+00:00,24.65,0,casa/sala/temperatura,56
56,2026-09-04T13:53:21.093704+00:00,21.05,0,casa/sala/temperatura,57
57,2026-09-04T13:53:22.105028+00:00,21.92,0,casa/sala/temperatura,58
58,2026-09-04T13:53:23.116791+00:00,21.79,0,casa/sala/temperatura,59
59,2026-09-04T13:53:24.117242+00:00,23.68,0,casa/sala/temperatura,60
