seq,timestamp_pub,dado,qos,topic,mid
0,2026-09-04T13:54:43.904286+00:00,23.1,2,casa/sala/temperatura,1
1,2026-09-04T13:54:44.911033+00:00,24.66,2,casa/sala/temperatura,2
2,2026-09-04T13:54:45.923897+00:00,21.98,2,casa/sala/temperatura,3
3,2026-09-04T13:54:46.938310+00:00,25.07,2,casa/sala/temperatura,4
4,2026-09-04T13:54:47.938585+00:00,25.09,2,casa/sala/temperatura,5
5,2026-09-04T13:54:48.949257+00:00,25.81,2,casa/sala/temperatura,6
6,2026-09-04T13:54:49.961601+00:00,27.74,2,casa/sala/temperatura,7
7,2026-09-04T13:54:50.976703+00:00,22.19,2,casa/sala/temperatura,8
8,2026-09-04T13:54:51.987663+00:00,24.5,2,casa/sala/temperatura,9
9,2026-09-04T13:54:52.998255+00:00,21.17,2,casa/sala/temperatura,10
10,2026-09-04T13:54:54.010416+00:00,25.61,2,casa/sala/temperatura,11
11,2026-09-04T13:54:55.021293+00:00,25.84,2,casa/sala/temperatura,12
12,2026-09-04T13:54:56.031310+00:00,22.77,2,casa/sala/temperatura,13
13,2026-09-04T13:54:57.043523+00:00,23.88,2,casa/sala/temperatura,14
14,2026-09-04T13:54:58.052834+00:00,25.58,2,casa/sala/temperatura,15
15,2026-09-04T13:54:59.062188+00:00,25.05,2,casa/sala/temperatura,16
16,2026-09-04T13:55:00.072368+00:00,25.26,2,casa/sala/temperatura,17
17,2026-09-04T13:55:01.086633+00:00,24.38,2,casa/sala/temperatura,18
18,2026-09-04T13:55:02.097358+00:00,24.86,2,casa/sala/temperatura,19
19,2026-09-04T13:55:03.109672+00:00,23.86,2,casa/sala/temperatura,20
20,2026-09-04T13:55:04.121618+00:00,24.18,2,casa/sala/temperatura,21
21,2026-09-04T13:55:05.137231+00:00,23.09,2,casa/sala/temperatura,22
22,2026-09-04T13:55:06.149742+00:00,25.11,2,casa/sala/temperatura,23
23,2026-09-04T13:55:07.164168+00:00,25.55,2,casa/sala/temperatura,24
24,2026-09-04T13:55:08.174317+00:00,24.22,2,casa/sala/temperatura,25
25,2026-09-04T13:55:09.184521+00:00,24.08,2,casa/sala/temperatura,26
26,2026-09-04T13:55:10.195201+00:00,23.34,2,casa/sala/temperatura,27
27,2026-09-04T13:55:11.205321+00:00,24.8,2,casa/sala/temperatura,28
28,2026-09-04T13:55:12.218392+00:00,24.35,2,casa/sala/temperatura,29
29,2026-09-04T13:55:13.229599+00:00,21.81,2,casa/sala/temperatura,30
30,2026-09-04T13:55:14.238697+00:00,25.04,2,casa/sala/temperatura,31
31,2026-09-04T13:55:15.251558+00:00,24.27,2,casa/sala/temperatura,32
32,2026-09-04T13:55:16.263433+00:00,23.6,2,casa/sala/temperatura,33
33,2026-09-04T13:55:17.276392+00:00,25.88,2,casa/sala/temperatura,34
34,2026-09-04T13:55:18.286311+00:00,23.69,2,casa/sala/temperatura,35
35,2026-09-04T13:55:19.296786+00:00,24.26,2,casa/sala/temperatura,36
36,2026-09-04T13:55:20.308543+00:00,25.11,2,casa/sala/temperatura,37
37,2026-09-04T13:55:21.319263+00:00,23.65,2,casa/sala/temperatura,38
38,2026-09-04T13:55:22.330746+00:00,24.27,2,casa/sala/temperatura,39
39,2026-09-04T13:55:23.331143+00:00,22.04,2,casa/sala/temperatura,40
40,2026-09-04T13:55:24.338345+00:00,24.43,2,casa/sala/temperatura,41
41,2026-09-04T13:55:25.351576+00:00,24.88,2,casa/sala/temperatura,42
42,2026-09-04T13:55:26.363976+00:00,22.94,2,casa/sala/temperatura,43
43,2026-09-04T13:55:27.378596+00:00,24.3,2,casa/sala/temperatura,44
44,2026-09-04T13:55:28.392349+00:00,24.97,2,casa/sala/temperatura,45
45,2026-09-04T13:55:29.403869+00:00,24.26,2,casa/sala/temperatura,46
46,2026-09-04T13:55:30.413300+00:00,20.23,2,casa/sala/temperatura,47
47,2026-09-04T13:55:31.426084+00:00,24.16,2,casa/sala/temperatura,48
48,2026-09-04T13:55:32.438936+00:00,21.25,2,casa/sala/temperatura,49
49,2026-09-04T13:55:33.439840+00:00,23.71,2,casa/sala/temperatura,50
50,2026-09-04T13:55:34.451546+00:00,24.21,2,casa/sala/temperatura,51
51,2026-09-04T13:55:35.461524+00:00,25.19,2,casa/sala/temperatura,52
52,2026-09-04T13:55:36.471652+00:00,22.94,2,casa/sala/temperatura,53
53,2026-09-04T13:55:37.480548+00:00,24.65,2,casa/sala/temperatura,54
54,2026-09-04T13:55:38.491511+00:00,23.95,2,casa/sala/temperatura,55
55,2026-09-04T13:55:39.504017+00:00,22.93,2,casa/sala/temperatura,56
56,2026-09-04T13:55:40.514540+00:00,23.71,2,casa/sala/temperatura,57
57,2026-09-04T13:55:41.527745+00:00,26.8,2,casa/sala/temperatura,58
58,2026-09-04T13:55:42.539215+00:00,24.05,2,casa/sala/temperatura,59
59,2026-09-04T13:55:43.552991+00:00,25.17,2,casa/sala/temperatura,60
